Experiment accession,sample_name,subsample_name,accession,LIBRARY_LAYOUT,input,life_stage_age,perturbed,protein_tags,simple_biosample_summary,File accession,Controlled by,Biological replicate(s),Technical replicate(s),target,Control.experiment
ENCSR041HRT,CG2129_ENCSR041HRT_rep1,1,https://encode-public.s3.amazonaws.com/2022/09/27/cec481bd-9589-40f2-9c4f-c79cd9062d46/ENCFF139SDT.fastq.gz,SINGLE,input_ENCSR281YAH_rep1,embryonic 0-4 hours,FALSE,eGFP,embryo (0-4 hours) strain CG2129-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG2129,ENCFF139SDT,ENCFF996PAN,1,1_1,CG2129,ENCSR281YAH
ENCSR041HRT,CG2129_ENCSR041HRT_rep2,1,https://encode-public.s3.amazonaws.com/2022/09/27/4a1fe162-9c98-4b86-a1fd-3c858b846814/ENCFF844ERJ.fastq.gz,SINGLE,input_ENCSR281YAH_rep1,embryonic 0-4 hours,FALSE,eGFP,embryo (0-4 hours) strain CG2129-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG2129,ENCFF844ERJ,ENCFF996PAN,2,2_1,CG2129,ENCSR281YAH
ENCSR042EXZ,rn_ENCSR042EXZ_rep1,1,https://encode-public.s3.amazonaws.com/2022/06/03/506421eb-3d7c-494f-a172-12cc50387223/ENCFF451ELK.fastq.gz,SINGLE,input_ENCSR944FZP_rep1,pupa unknown stages,FALSE,eGFP,pupa (unknown stages) strain rn-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster rn,ENCFF451ELK,ENCFF772VNI,1,1_1,rn,ENCSR944FZP
ENCSR042EXZ,rn_ENCSR042EXZ_rep1,2,https://encode-public.s3.amazonaws.com/2022/06/03/2dda42e3-5c03-4ed3-8bcd-c55475a9810f/ENCFF164JRX.fastq.gz,SINGLE,input_ENCSR944FZP_rep1,pupa unknown stages,FALSE,eGFP,pupa (unknown stages) strain rn-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster rn,ENCFF164JRX,ENCFF772VNI,1,1_1,rn,ENCSR944FZP
ENCSR042EXZ,rn_ENCSR042EXZ_rep2,1,https://encode-public.s3.amazonaws.com/2022/06/03/82adba0d-eefd-4543-99b6-4ce26b99f6f1/ENCFF938LRH.fastq.gz,SINGLE,input_ENCSR944FZP_rep1,pupa unknown stages,FALSE,eGFP,pupa (unknown stages) strain rn-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster rn,ENCFF938LRH,ENCFF772VNI,2,2_1,rn,ENCSR944FZP
ENCSR042EXZ,rn_ENCSR042EXZ_rep2,2,https://encode-public.s3.amazonaws.com/2022/06/03/c5f7372a-6f82-42d4-ae29-72609d8e72f5/ENCFF185IVZ.fastq.gz,SINGLE,input_ENCSR944FZP_rep1,pupa unknown stages,FALSE,eGFP,pupa (unknown stages) strain rn-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster rn,ENCFF185IVZ,ENCFF772VNI,2,2_1,rn,ENCSR944FZP
ENCSR042FCJ,CG7556_ENCSR042FCJ_rep1,1,https://encode-public.s3.amazonaws.com/2016/12/21/d75da97e-d2f0-48e8-a1f7-46fc83775334/ENCFF216GAV.fastq.gz,SINGLE,input_ENCSR561OFJ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG7556-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7556,ENCFF216GAV,ENCFF556RXT,1,1_1,CG7556,ENCSR561OFJ
ENCSR042FCJ,CG7556_ENCSR042FCJ_rep2,1,https://encode-public.s3.amazonaws.com/2016/12/21/f4a04222-765c-4b04-a2ef-3a10a027333d/ENCFF885ISS.fastq.gz,SINGLE,input_ENCSR561OFJ_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG7556-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7556,ENCFF885ISS,ENCFF556RXT,2,2_1,CG7556,ENCSR561OFJ
ENCSR042VRW,pan_ENCSR042VRW_rep1,1,https://encode-public.s3.amazonaws.com/2022/01/04/163d6d09-d6e1-40d1-a162-e930b8645d63/ENCFF089OTF.fastq.gz,SINGLE,input_ENCSR963EIX_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain pan-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster pan,ENCFF089OTF,ENCFF295MLC,1,1_1,pan,ENCSR963EIX
ENCSR042VRW,pan_ENCSR042VRW_rep2,1,https://encode-public.s3.amazonaws.com/2022/01/04/b283513b-41ee-4192-ab17-73d23ba87c1f/ENCFF346NFG.fastq.gz,SINGLE,input_ENCSR963EIX_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain pan-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster pan,ENCFF346NFG,ENCFF295MLC,2,2_1,pan,ENCSR963EIX
ENCSR042XCV,salr_ENCSR042XCV_rep1,1,https://encode-public.s3.amazonaws.com/2016/08/03/535f5381-3690-41ad-a165-c23d8f38cf18/ENCFF659JNP.fastq.gz,SINGLE,input_ENCSR315IPI_rep1,NA,FALSE,eGFP,mixed sex prepupa strain salr-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster salr,ENCFF659JNP,ENCFF330BHV,1,1_1,salr,ENCSR315IPI
ENCSR042XCV,salr_ENCSR042XCV_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/03/f2179543-84d3-4a89-afdd-a09e4388b135/ENCFF039UBC.fastq.gz,SINGLE,input_ENCSR315IPI_rep1,NA,FALSE,eGFP,mixed sex prepupa strain salr-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster salr,ENCFF039UBC,ENCFF330BHV,2,2_1,salr,ENCSR315IPI
ENCSR042XCV,salr_ENCSR042XCV_rep3,1,https://encode-public.s3.amazonaws.com/2016/08/03/33409c83-5aa7-4ee1-9612-7d79131a6480/ENCFF548ZZG.fastq.gz,SINGLE,input_ENCSR315IPI_rep1,NA,FALSE,eGFP,mixed sex prepupa strain salr-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster salr,ENCFF548ZZG,ENCFF330BHV,3,3_1,salr,ENCSR315IPI
ENCSR044IDQ,CG12236_ENCSR044IDQ_rep1,1,https://encode-public.s3.amazonaws.com/2015/07/24/602dde67-2f56-4c1e-8c5f-e9b93d65e9aa/ENCFF756WLV.fastq.gz,SINGLE,input_ENCSR191UXN_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG12236-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12236,ENCFF756WLV,ENCFF347FLR,1,1_1,CG12236,ENCSR191UXN
ENCSR044IDQ,CG12236_ENCSR044IDQ_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/fc7d979a-5dfe-4981-adc9-c1633e6ea7fd/ENCFF534BBK.fastq.gz,SINGLE,input_ENCSR191UXN_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG12236-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12236,ENCFF534BBK,ENCFF347FLR,3,3_1,CG12236,ENCSR191UXN
ENCSR048FSW,Gsc_ENCSR048FSW_rep1,1,https://encode-public.s3.amazonaws.com/2022/01/04/77b0b057-02c2-4bba-a73f-21a2a841f828/ENCFF797ITP.fastq.gz,SINGLE,input_ENCSR817QNU_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gsc-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gsc,ENCFF797ITP,ENCFF621CIN,1,1_1,Gsc,ENCSR817QNU
ENCSR048FSW,Gsc_ENCSR048FSW_rep2,1,https://encode-public.s3.amazonaws.com/2022/01/04/9d5cfc22-b724-4d60-a405-d9bbb21c1acf/ENCFF505YUF.fastq.gz,SINGLE,input_ENCSR817QNU_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gsc-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gsc,ENCFF505YUF,ENCFF621CIN,2,2_1,Gsc,ENCSR817QNU
ENCSR054BLW,az2_ENCSR054BLW_rep1,1,https://encode-public.s3.amazonaws.com/2016/08/02/be0d62f9-0ffa-4b3a-88b2-8b5f236f6367/ENCFF006IBH.fastq.gz,SINGLE,input_ENCSR641VHQ_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain az2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster az2,ENCFF006IBH,ENCFF579GVQ,1,1_1,az2,ENCSR641VHQ
ENCSR054BLW,az2_ENCSR054BLW_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/02/9beee64b-6be3-4fc9-b0bc-dcabbfaf3a07/ENCFF144JUF.fastq.gz,SINGLE,input_ENCSR641VHQ_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain az2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster az2,ENCFF144JUF,ENCFF579GVQ,2,2_1,az2,ENCSR641VHQ
ENCSR054BLW,az2_ENCSR054BLW_rep3,1,https://encode-public.s3.amazonaws.com/2016/08/02/6ec80e8a-3bb0-4aee-a4a2-c27c92046bf5/ENCFF732ZXK.fastq.gz,SINGLE,input_ENCSR641VHQ_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain az2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster az2,ENCFF732ZXK,ENCFF579GVQ,3,3_1,az2,ENCSR641VHQ
ENCSR055BAQ,CG1621_ENCSR055BAQ_rep1,1,https://encode-public.s3.amazonaws.com/2018/05/29/25a59442-7a07-41db-adb9-316a6b0492b5/ENCFF361ODU.fastq.gz,SINGLE,input_ENCSR461LST_rep1,prepupa 24 hours,FALSE,eGFP,mixed sex prepupa (24 hours) strain CG1621 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Coop,ENCFF361ODU,ENCFF174GFT,1,1_1,CG1621,ENCSR461LST
ENCSR055BAQ,CG1621_ENCSR055BAQ_rep2,1,https://encode-public.s3.amazonaws.com/2018/05/29/664ddf66-af2a-4fb8-bcbc-2f1654a52f2d/ENCFF112XQE.fastq.gz,SINGLE,input_ENCSR461LST_rep2,prepupa 24 hours,FALSE,eGFP,mixed sex prepupa (24 hours) strain CG1621 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Coop,ENCFF112XQE,ENCFF174GFT,2,2_1,CG1621,ENCSR461LST
ENCSR055BAQ,CG1621_ENCSR055BAQ_rep3,1,https://encode-public.s3.amazonaws.com/2018/05/29/043a723e-4248-4f55-afd5-1290767a9056/ENCFF659WTO.fastq.gz,SINGLE,input_ENCSR461LST_rep2,prepupa 24 hours,FALSE,eGFP,mixed sex prepupa (24 hours) strain CG1621 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Coop,ENCFF659WTO,ENCFF174GFT,3,3_1,CG1621,ENCSR461LST
ENCSR058DSI,pan_ENCSR058DSI_rep1,1,https://encode-public.s3.amazonaws.com/2016/08/23/103d6703-b1c0-4b1e-9a1b-e2a79e59ffb0/ENCFF068IFW.fastq.gz,SINGLE,input_ENCSR344TQJ_rep1,embryonic 0-8 hours,FALSE,eGFP,embryo (0-8 hours) strain Hr3-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr3,ENCFF068IFW,ENCFF549NNN,1,1_1,pan,ENCSR344TQJ
ENCSR058DSI,pan_ENCSR058DSI_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/23/97c2b8d9-886d-4c9e-a2bb-5d143fb7c279/ENCFF957PCC.fastq.gz,SINGLE,input_ENCSR344TQJ_rep1,embryonic 0-8 hours,FALSE,eGFP,embryo (0-8 hours) strain Hr3-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr3,ENCFF957PCC,ENCFF549NNN,2,2_1,pan,ENCSR344TQJ
ENCSR059LML,CG32006_ENCSR059LML_rep1,1,https://encode-public.s3.amazonaws.com/2016/12/21/f1443d86-52e4-4fe1-ada3-20b6ad3622cc/ENCFF911TZP.fastq.gz,SINGLE,input_ENCSR293DLH_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG32006-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG32006,ENCFF911TZP,ENCFF013JTL,1,1_1,CG32006,ENCSR293DLH
ENCSR059LML,CG32006_ENCSR059LML_rep2,1,https://encode-public.s3.amazonaws.com/2016/12/21/62a92062-7b4b-45fb-9515-a9a1c40cdaf8/ENCFF040BHL.fastq.gz,SINGLE,input_ENCSR293DLH_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG32006-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG32006,ENCFF040BHL,ENCFF013JTL,2,2_1,CG32006,ENCSR293DLH
ENCSR059LML,CG32006_ENCSR059LML_rep3,1,https://encode-public.s3.amazonaws.com/2016/12/21/e61813f0-cef3-4756-9fe7-b1f10c5810b5/ENCFF464AHM.fastq.gz,SINGLE,input_ENCSR293DLH_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG32006-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG32006,ENCFF464AHM,ENCFF013JTL,3,3_1,CG32006,ENCSR293DLH
ENCSR059TJM,CG3995_ENCSR059TJM_rep1,1,https://encode-public.s3.amazonaws.com/2016/08/03/bf439b4f-2453-4e61-928d-8b96f885366b/ENCFF541TTO.fastq.gz,SINGLE,input_ENCSR889UFR_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG3995-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3995,ENCFF541TTO,ENCFF282ODO,1,1_1,CG3995,ENCSR889UFR
ENCSR059TJM,CG3995_ENCSR059TJM_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/03/2ce39cf2-5794-4d1e-b31c-666563b86c43/ENCFF988BXX.fastq.gz,SINGLE,input_ENCSR889UFR_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG3995-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3995,ENCFF988BXX,ENCFF282ODO,2,2_1,CG3995,ENCSR889UFR
ENCSR059TJM,CG3995_ENCSR059TJM_rep3,1,https://encode-public.s3.amazonaws.com/2016/08/03/d557c2e1-7bf6-4d01-9350-a0db042bbf6e/ENCFF304CPF.fastq.gz,SINGLE,input_ENCSR889UFR_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG3995-GFP attP-40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG3995,ENCFF304CPF,ENCFF282ODO,3,3_1,CG3995,ENCSR889UFR
ENCSR059YLP,CG4318_ENCSR059YLP_rep1,1,https://encode-public.s3.amazonaws.com/2016/12/21/44d77910-def7-4630-b175-c5bbd9f56847/ENCFF593HUL.fastq.gz,SINGLE,input_ENCSR216KNP_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG4318-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4318,ENCFF593HUL,ENCFF547ERQ,1,1_1,CG4318,ENCSR216KNP
ENCSR059YLP,CG4318_ENCSR059YLP_rep2,1,https://encode-public.s3.amazonaws.com/2016/12/21/d8e859bc-6de5-49f8-90a7-d7a6b7f48d7c/ENCFF403HSU.fastq.gz,SINGLE,input_ENCSR216KNP_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG4318-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4318,ENCFF403HSU,ENCFF547ERQ,2,2_1,CG4318,ENCSR216KNP
ENCSR059YLP,CG4318_ENCSR059YLP_rep3,1,https://encode-public.s3.amazonaws.com/2016/12/21/883e8bb7-c8c7-44d5-8801-694b4ce8d227/ENCFF593NFG.fastq.gz,SINGLE,input_ENCSR216KNP_rep1,prepupa 48 days,FALSE,eGFP,mixed sex prepupa (48 days) strain CG4318-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG4318,ENCFF593NFG,ENCFF547ERQ,3,3_1,CG4318,ENCSR216KNP
ENCSR064GFC,tin_ENCSR064GFC_rep1,1,https://encode-public.s3.amazonaws.com/2016/04/10/46e29459-8042-46a8-9ca1-e2ff63585346/ENCFF416RAW.fastq.gz,SINGLE,input_ENCSR996JOD_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain tin-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tin,ENCFF416RAW,ENCFF649TSD,1,1_1,tin,ENCSR996JOD
ENCSR064GFC,tin_ENCSR064GFC_rep2,1,https://encode-public.s3.amazonaws.com/2016/04/10/ce4267ae-7d82-4ede-bd12-4c7ff2d8d2bb/ENCFF780JUW.fastq.gz,SINGLE,input_ENCSR996JOD_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain tin-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tin,ENCFF780JUW,ENCFF649TSD,2,2_1,tin,ENCSR996JOD
ENCSR064GFC,tin_ENCSR064GFC_rep2,2,https://encode-public.s3.amazonaws.com/2016/04/10/b0a68829-5f53-4922-b5af-d7dfa51b9d74/ENCFF395IGS.fastq.gz,SINGLE,input_ENCSR996JOD_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain tin-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tin,ENCFF395IGS,ENCFF649TSD,2,2_1,tin,ENCSR996JOD
ENCSR064GFC,tin_ENCSR064GFC_rep3,1,https://encode-public.s3.amazonaws.com/2016/04/10/56c0ecee-060d-4b86-8b7b-e2d01812c122/ENCFF281IQM.fastq.gz,SINGLE,input_ENCSR996JOD_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain tin-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tin,ENCFF281IQM,ENCFF649TSD,3,3_1,tin,ENCSR996JOD
ENCSR064GFC,tin_ENCSR064GFC_rep3,2,https://encode-public.s3.amazonaws.com/2016/04/10/e27f3c25-eb96-444d-adf5-90bbc3b4df9d/ENCFF113ZWD.fastq.gz,SINGLE,input_ENCSR996JOD_rep1,embryonic 0-16 hours,FALSE,eGFP,mixed sex embryo (0-16 hours) strain tin-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster tin,ENCFF113ZWD,ENCFF649TSD,3,3_1,tin,ENCSR996JOD
ENCSR065NEA,Rx_ENCSR065NEA_rep1,1,https://encode-public.s3.amazonaws.com/2022/05/26/64613ad4-e7d7-486a-b8f9-dbdfd66884a0/ENCFF984YAW.fastq.gz,SINGLE,input_ENCSR503KUN_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Rx-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Rx,ENCFF984YAW,ENCFF760EAC,1,1_1,Rx,ENCSR503KUN
ENCSR065NEA,Rx_ENCSR065NEA_rep2,1,https://encode-public.s3.amazonaws.com/2022/05/26/47077761-225f-4cd3-8e9c-2ca95fd8d1d2/ENCFF782BIO.fastq.gz,SINGLE,input_ENCSR503KUN_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Rx-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Rx,ENCFF782BIO,ENCFF760EAC,2,2_1,Rx,ENCSR503KUN
ENCSR066ITF,stwl_ENCSR066ITF_rep1,1,https://encode-public.s3.amazonaws.com/2018/09/18/285780ea-33d6-4150-80f6-796b3da2569e/ENCFF785TWV.fastq.gz,SINGLE,input_ENCSR033NNL_rep1,embryonic 0-10 hours,FALSE,eGFP,embryo (0-10 hours) strain stwl attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster stwl,ENCFF785TWV,ENCFF666KHN,1,1_1,stwl,ENCSR033NNL
ENCSR066ITF,stwl_ENCSR066ITF_rep2,1,https://encode-public.s3.amazonaws.com/2018/09/18/52f4a86b-7164-48fb-ad86-5f6bdcd29807/ENCFF958LYD.fastq.gz,SINGLE,input_ENCSR033NNL_rep1,embryonic 0-10 hours,FALSE,eGFP,embryo (0-10 hours) strain stwl attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster stwl,ENCFF958LYD,ENCFF666KHN,2,2_1,stwl,ENCSR033NNL
ENCSR066ITF,stwl_ENCSR066ITF_rep3,1,https://encode-public.s3.amazonaws.com/2018/09/18/c4776886-6bd8-4467-a9c6-fcaec8e53c6a/ENCFF225VLS.fastq.gz,SINGLE,input_ENCSR033NNL_rep1,embryonic 0-10 hours,FALSE,eGFP,embryo (0-10 hours) strain stwl attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster stwl,ENCFF225VLS,ENCFF666KHN,3,3_1,stwl,ENCSR033NNL
ENCSR068FFA,stc_ENCSR068FFA_rep1,1,https://encode-public.s3.amazonaws.com/2022/01/04/fec1cec4-e2c7-44dc-a363-eace1c3c974c/ENCFF328SZG.fastq.gz,SINGLE,input_ENCSR149TUI_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain stc-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster stc,ENCFF328SZG,ENCFF780NJK,1,1_1,stc,ENCSR149TUI
ENCSR068FFA,stc_ENCSR068FFA_rep2,1,https://encode-public.s3.amazonaws.com/2022/01/04/3475bec7-bdae-4d31-804d-29f854dcb67a/ENCFF040EZZ.fastq.gz,SINGLE,input_ENCSR149TUI_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain stc-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster stc,ENCFF040EZZ,ENCFF780NJK,2,2_1,stc,ENCSR149TUI
ENCSR068MPS,Gug_ENCSR068MPS_rep1,1,https://encode-public.s3.amazonaws.com/2021/02/12/72d3c4fd-f9fc-4c71-9b66-ec52129ad842/ENCFF524QUK.fastq.gz,SINGLE,input_ENCSR946RFO_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gug-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gug,ENCFF524QUK,ENCFF987DTH,1,1_1,Gug,ENCSR946RFO
ENCSR068MPS,Gug_ENCSR068MPS_rep2,1,https://encode-public.s3.amazonaws.com/2021/02/12/8dee6af4-1c35-4623-a331-acff75e5146a/ENCFF929KYR.fastq.gz,SINGLE,input_ENCSR946RFO_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gug-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gug,ENCFF929KYR,ENCFF987DTH,2,2_1,Gug,ENCSR946RFO
ENCSR068MPS,Gug_ENCSR068MPS_rep3,1,https://encode-public.s3.amazonaws.com/2021/02/12/cd00b751-aacc-490f-9dc7-443e306b3fa3/ENCFF831TOT.fastq.gz,SINGLE,input_ENCSR946RFO_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gug-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gug,ENCFF831TOT,ENCFF987DTH,3,3_1,Gug,ENCSR946RFO
ENCSR068MPS,Gug_ENCSR068MPS_rep4,1,https://encode-public.s3.amazonaws.com/2021/02/12/be728fc2-b0d5-4298-bb77-8c98dc8971bd/ENCFF024NYP.fastq.gz,SINGLE,input_ENCSR946RFO_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain Gug-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Gug,ENCFF024NYP,ENCFF987DTH,4,4_1,Gug,ENCSR946RFO
ENCSR068PBQ,CG7372_ENCSR068PBQ_rep1,1,https://encode-public.s3.amazonaws.com/2021/04/13/d74184f2-404d-4755-a586-fce8b9b53d3a/ENCFF361PBE.fastq.gz,SINGLE,input_ENCSR942MQN_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain CG7372-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7372,ENCFF361PBE,ENCFF576ZND,1,1_1,CG7372,ENCSR942MQN
ENCSR068PBQ,CG7372_ENCSR068PBQ_rep2,1,https://encode-public.s3.amazonaws.com/2021/04/13/8d9d9821-c1ac-4317-9e5c-e42c563ba39a/ENCFF915VWP.fastq.gz,SINGLE,input_ENCSR942MQN_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain CG7372-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG7372,ENCFF915VWP,ENCFF576ZND,2,2_1,CG7372,ENCSR942MQN
ENCSR069AWH,Side_ENCSR069AWH_rep1,1,https://encode-public.s3.amazonaws.com/2015/07/24/b9099d35-4124-4e79-8443-b2648f3d375a/ENCFF712RZY.fastq.gz,SINGLE,input_ENCSR805VRS_rep1,embryonic 0-24 hours,FALSE,eGFP;3xFLAG,mixed sex embryo (0-24 hours) strain side-MiMIC-GFP MI00149 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Sidpn,ENCFF712RZY,ENCFF906OUL,1,1_1,Side,ENCSR805VRS
ENCSR069AWH,Side_ENCSR069AWH_rep2,1,https://encode-public.s3.amazonaws.com/2015/07/24/0e01c77e-2c89-428f-8f03-13f5b1794d60/ENCFF667YMQ.fastq.gz,SINGLE,input_ENCSR805VRS_rep1,embryonic 0-24 hours,FALSE,eGFP;3xFLAG,mixed sex embryo (0-24 hours) strain side-MiMIC-GFP MI00149 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Sidpn,ENCFF667YMQ,ENCFF906OUL,2,2_1,Side,ENCSR805VRS
ENCSR069DFE,fru_ENCSR069DFE_rep1,1,https://encode-public.s3.amazonaws.com/2016/09/01/38b25220-6dc6-46b8-b070-eeac1b8e61a5/ENCFF735DZA.fastq.gz,SINGLE,input_ENCSR513RYB_rep1,embryonic 0-8 hours,FALSE,,embryo (0-8 hours) strain yellow cinnabar brown speck,ENCFF735DZA,ENCFF110BTD,1,1_1,fru,ENCSR513RYB
ENCSR069DFE,fru_ENCSR069DFE_rep2,1,https://encode-public.s3.amazonaws.com/2016/09/01/843417af-1b90-4a78-9673-d271b5a60dc1/ENCFF491TDJ.fastq.gz,SINGLE,input_ENCSR513RYB_rep1,embryonic 0-8 hours,FALSE,,embryo (0-8 hours) strain yellow cinnabar brown speck,ENCFF491TDJ,ENCFF110BTD,2,2_1,fru,ENCSR513RYB
ENCSR069JDM,CG34422_ENCSR069JDM_rep1,1,https://encode-public.s3.amazonaws.com/2021/02/12/a5947032-7454-4ffd-a442-2515a13ba1e5/ENCFF109YXG.fastq.gz,SINGLE,input_ENCSR797CVA_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain CG34422-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster htk,ENCFF109YXG,ENCFF827PXE,1,1_1,CG34422,ENCSR797CVA
ENCSR069JDM,CG34422_ENCSR069JDM_rep2,1,https://encode-public.s3.amazonaws.com/2021/02/12/fbb256b5-2c77-43a0-a03f-319082ebb01c/ENCFF054ZJI.fastq.gz,SINGLE,input_ENCSR797CVA_rep1,embryonic 0-24 hours,FALSE,eGFP,embryo (0-24 hours) strain CG34422-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster htk,ENCFF054ZJI,ENCFF827PXE,2,2_1,CG34422,ENCSR797CVA
